City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Quatre Cocos,MU,2021-03-21 19:51:58,-20.2078,57.7625,80.01,89,75,9.22
91,Lorengau,PG,2021-03-21 19:51:58,-2.0226,147.2712,82.44,73,19,3.38
92,Odessa,UA,2021-03-21 19:48:04,46.4775,30.7326,33.8,80,0,2.24
93,Bambous Virieux,MU,2021-03-21 19:51:59,-20.3428,57.7575,80.01,89,75,9.22
94,Bredasdorp,ZA,2021-03-21 19:51:59,-34.5322,20.0403,62.6,72,0,9.22
95,Raymond,US,2021-03-21 19:51:59,43.9015,-70.4703,60.01,21,0,2.68
96,Beloha,MG,2021-03-21 19:51:59,-25.1667,45.05,75.33,82,0,3.6
97,Xuanhua,CN,2021-03-21 19:52:00,40.6103,115.0447,35.08,32,0,6.51
98,Ust-Ilimsk,RU,2021-03-21 19:52:00,58.0006,102.6619,30.88,91,100,10.42
99,Najran,SA,2021-03-21 19:52:00,17.4924,44.1277,75.2,23,0,4.61
100,Tuatapere,NZ,2021-03-21 19:52:00,-46.1333,167.6833,54.0,95,99,3.0
101,Spartanburg,US,2021-03-21 19:52:01,34.9496,-81.9321,63.0,33,75,11.5
102,Tura,IN,2021-03-21 19:52:01,25.5198,90.2201,73.31,29,0,2.19
103,Adrar,MR,2021-03-21 19:52:01,20.5022,-10.0711,73.29,16,0,8.3
104,Abengourou,CI,2021-03-21 19:52:01,6.7297,-3.4964,79.27,78,100,5.39
105,Arraial Do Cabo,BR,2021-03-21 19:51:12,-22.9661,-42.0278,86.0,69,0,17.27
106,Xuddur,SO,2021-03-21 19:52:02,4.1213,43.8894,82.65,36,0,10.11
107,Bethel,US,2021-03-21 19:52:02,41.3712,-73.414,64.99,16,1,8.05
108,Svetlogorsk,BY,2021-03-21 19:52:02,52.6333,29.7333,29.5,84,100,11.65
109,Saskylakh,RU,2021-03-21 19:52:02,71.9167,114.0833,-29.38,99,93,2.71
110,Zapolyarnyy,RU,2021-03-21 19:52:03,69.4154,30.8136,24.8,80,40,10.36
111,Airai,TL,2021-03-21 19:52:03,-8.9266,125.4092,60.71,87,86,1.25
112,Kaitangata,NZ,2021-03-21 19:52:03,-46.2817,169.8464,57.99,88,97,4.0
113,Tautira,PF,2021-03-21 19:52:03,-17.7333,-149.15,86.0,66,20,4.61
114,Mayo,US,2021-03-21 19:52:04,38.8876,-76.5119,61.0,33,1,4.61
115,Gold Coast,AU,2021-03-21 19:52:00,-28.0,153.4333,72.0,94,75,14.97
116,Anadyr,RU,2021-03-21 19:52:04,64.75,177.4833,-11.2,77,20,8.95
117,Mahebourg,MU,2021-03-21 19:52:04,-20.4081,57.7,78.8,89,75,9.22
