City_ID,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp,Current Description
86,Hithadhoo,-0.6,73.0833,70,96,13.44,MV,2021-03-27 18:17:11,84.25,overcast clouds
87,Bodaybo,57.8506,114.1933,97,87,0.31,RU,2021-03-27 18:23:57,9.18,overcast clouds
88,Palmer,42.1584,-72.3287,36,20,16.11,US,2021-03-27 18:21:05,63.0,few clouds
89,Codrington,-38.2667,141.9667,85,88,7.45,AU,2021-03-27 18:18:43,53.15,overcast clouds
90,Isabela,6.7085,121.9711,89,90,3.44,PH,2021-03-27 18:23:58,78.8,moderate rain
91,Atuona,-9.8,-139.0333,79,79,20.15,PF,2021-03-27 18:20:43,80.33,light rain
92,Wausau,44.9591,-89.6301,87,90,10.36,US,2021-03-27 18:20:25,39.2,overcast clouds
93,Lahat,-3.8,103.5333,99,100,3.0,ID,2021-03-27 18:23:58,73.47,moderate rain
94,Tiksi,71.6872,128.8694,98,100,0.45,RU,2021-03-27 18:21:03,7.02,overcast clouds
95,Hobart,-42.8794,147.3294,82,51,8.05,AU,2021-03-27 18:18:48,52.0,broken clouds
96,Thinadhoo,0.5333,72.9333,72,100,10.45,MV,2021-03-27 18:20:51,83.61,overcast clouds
97,Charleston,32.7766,-79.9309,69,1,10.36,US,2021-03-27 18:15:04,87.8,haze
98,San Quintin,30.4833,-115.95,45,0,5.48,MX,2021-03-27 18:20:56,64.09,clear sky
99,Sambava,-14.2667,50.1667,88,78,8.05,MG,2021-03-27 18:22:15,78.49,moderate rain
100,Kudahuvadhoo,2.6708,72.8944,75,100,4.41,MV,2021-03-27 18:22:40,80.76,overcast clouds
101,Mecca,21.4267,39.8261,49,1,9.1,SA,2021-03-27 18:21:58,74.16,clear sky
102,Talnakh,69.4865,88.3972,96,100,1.21,RU,2021-03-27 18:22:10,13.03,overcast clouds
103,Corod,45.9,27.6167,50,3,6.13,RO,2021-03-27 18:23:59,50.29,clear sky
104,Namatanai,-3.6667,152.4333,80,100,9.08,PG,2021-03-27 18:21:55,78.93,light rain
105,Dubbo,-32.25,148.6167,93,84,3.44,AU,2021-03-27 18:23:59,51.8,broken clouds
106,Placido De Castro,-10.3353,-67.1856,61,47,2.26,BR,2021-03-27 18:22:49,88.2,scattered clouds
107,Victoria,22.2855,114.1577,88,13,2.68,HK,2021-03-27 18:17:59,73.99,few clouds
108,Bluff,-46.6,168.3333,93,84,3.11,NZ,2021-03-27 18:20:46,55.99,broken clouds
109,Jamestown,42.097,-79.2353,54,1,7.11,US,2021-03-27 18:20:33,61.0,clear sky
110,Ketchikan,55.3422,-131.6461,93,90,11.5,US,2021-03-27 18:18:28,42.8,moderate rain
111,Samut Sakhon,13.5833,100.3,70,48,16.84,TH,2021-03-27 18:23:59,84.99,scattered clouds
112,Santiago Del Estero,-27.7951,-64.2615,26,39,15.21,AR,2021-03-27 18:16:30,77.86,scattered clouds
113,Sitka,57.0531,-135.33,93,90,10.36,US,2021-03-27 18:16:03,33.8,light rain
114,Bethel,41.3712,-73.414,39,90,6.91,US,2021-03-27 18:21:06,64.0,overcast clouds
115,Bengkulu,-3.8004,102.2655,91,100,6.82,ID,2021-03-27 18:21:24,76.28,overcast clouds
